customer_id,article_id,hybrid_rank,svd_rank,rank_shift,is_ground_truth,normalized_svd_score,normalized_agentic_score,diversity_bonus,hybrid_score,product_type_name,product_group_name,graphical_appearance_name,colour_group_name,garment_group_name,department_name,section_name,index_name,prod_name,detail_desc,matched_preference_fields_json,explanation_text,grounded_claim_count,ungrounded_claim_count
00ae1f6597d6ccd8be53792737157a91d89dd40fcee2199cc04a696003fb2727,0870970001,1,1.0,0.0,False,1.0,0.636854,0.0,0.859214,Dress,Garment Full body,Solid,Black,Jersey Basic,Basic 1,Divided Basics,Divided,,"Fitted, sleeveless calf-length dress in ribbed jersey.","[{""field"": ""product_group_name"", ""item_value"": ""Garment Full body"", ""matched_user_history_count"": 2}, {""field"": ""product_type_name"", ""item_value"": ""Dress"", ""matched_user_history_count"": 2}, {""field"": ""colour_group_name"", ""item_value"": ""Black"", ""matched_user_history_count"": 13}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Solid"", ""matched_user_history_count"": 17}, {""field"": ""garment_group_name"", ""item_value"": ""Jersey Basic"", ""matched_user_history_count"": 4}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Full body' and colour 'Black'. The item product_group_name value 'Garment Full body' appears 2 times in the user's training history. The item product_type_name value 'Dress' appears 2 times in the user's training history. The item colour_group_name value 'Black' appears 13 times in the user's training history. The item graphical_appearance_name value 'Solid' appears 17 times in the user's training history. The item garment_group_name value 'Jersey Basic' appears 4 times in the user's training history. Saved Hybrid score components are available with SVD score 1.000, agentic score 0.637, diversity bonus 0.000, and hybrid score 0.859. The item stayed at the same position in saved SVD and Hybrid Top-10 outputs at rank 1.",9,0
00ae1f6597d6ccd8be53792737157a91d89dd40fcee2199cc04a696003fb2727,0826776001,2,2.0,0.0,False,0.869677,0.273432,0.666667,0.710465,Trousers,Garment Lower body,Check,Black,Trousers,Trouser,Womens Everyday Collection,Ladieswear,,"Ankle-length trousers in sturdy twill with a high waist, zip fly and tab with press-studs. Fake welt pockets front and back, and tapered legs with creases.","[{""field"": ""product_group_name"", ""item_value"": ""Garment Lower body"", ""matched_user_history_count"": 3}, {""field"": ""colour_group_name"", ""item_value"": ""Black"", ""matched_user_history_count"": 13}, {""field"": ""garment_group_name"", ""item_value"": ""Trousers"", ""matched_user_history_count"": 1}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Lower body' and colour 'Black'. The item product_group_name value 'Garment Lower body' appears 3 times in the user's training history. The item colour_group_name value 'Black' appears 13 times in the user's training history. The item garment_group_name value 'Trousers' appears 1 times in the user's training history. Saved Hybrid score components are available with SVD score 0.870, agentic score 0.273, diversity bonus 0.667, and hybrid score 0.710. The item stayed at the same position in saved SVD and Hybrid Top-10 outputs at rank 2.",7,0
00ae1f6597d6ccd8be53792737157a91d89dd40fcee2199cc04a696003fb2727,0723167001,3,3.0,0.0,False,0.686486,0.644054,0.666667,0.674887,Blouse,Garment Upper body,Solid,White,Blouses,Tops Woven,Divided Collection,Divided,,"Cold shoulder blouse in woven fabric with a V-neck and tie detail at the top, narrow, adjustable shoulder straps and long sleeves with elastication and a flounce on the shoulders and at the cuffs. An elasticated seam at the waist, and a flounce at the hem.","[{""field"": ""product_group_name"", ""item_value"": ""Garment Upper body"", ""matched_user_history_count"": 3}, {""field"": ""colour_group_name"", ""item_value"": ""White"", ""matched_user_history_count"": 2}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Solid"", ""matched_user_history_count"": 17}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Upper body' and colour 'White'. The item product_group_name value 'Garment Upper body' appears 3 times in the user's training history. The item colour_group_name value 'White' appears 2 times in the user's training history. The item graphical_appearance_name value 'Solid' appears 17 times in the user's training history. Saved Hybrid score components are available with SVD score 0.686, agentic score 0.644, diversity bonus 0.667, and hybrid score 0.675. The item stayed at the same position in saved SVD and Hybrid Top-10 outputs at rank 3.",7,0
00ae1f6597d6ccd8be53792737157a91d89dd40fcee2199cc04a696003fb2727,0589599002,4,5.0,1.0,False,0.372321,0.946836,0.666667,0.530667,Bikini top,Swimwear,Stripe,White,Swimwear,Swimwear,"Womens Swimwear, beachwear",Lingeries/Tights,,"Lined balconette bikini top with underwired, lightly padded cups, draping at the front, detachable, adjustable shoulder straps and an adjustable metal fastener. Side support and a silicone trim.","[{""field"": ""product_group_name"", ""item_value"": ""Swimwear"", ""matched_user_history_count"": 5}, {""field"": ""product_type_name"", ""item_value"": ""Bikini top"", ""matched_user_history_count"": 3}, {""field"": ""colour_group_name"", ""item_value"": ""White"", ""matched_user_history_count"": 2}, {""field"": ""garment_group_name"", ""item_value"": ""Swimwear"", ""matched_user_history_count"": 5}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Swimwear' and colour 'White'. The item product_group_name value 'Swimwear' appears 5 times in the user's training history. The item product_type_name value 'Bikini top' appears 3 times in the user's training history. The item colour_group_name value 'White' appears 2 times in the user's training history. The item garment_group_name value 'Swimwear' appears 5 times in the user's training history. Saved Hybrid score components are available with SVD score 0.372, agentic score 0.947, diversity bonus 0.667, and hybrid score 0.531. The Hybrid rank is 4, compared with SVD rank 5, so the reranking layer promoted this item by 1 positions.",8,0
00ae1f6597d6ccd8be53792737157a91d89dd40fcee2199cc04a696003fb2727,0721021001,5,4.0,-1.0,False,0.42411,0.739582,0.0,0.481772,Swimsuit,Swimwear,Solid,Black,Jersey Fancy,Jersey,Womens Trend,Ladieswear,,"Fully lined swimsuit with a deep V-neck front and back, and wide shoulder straps with a tie detail at the top.","[{""field"": ""product_group_name"", ""item_value"": ""Swimwear"", ""matched_user_history_count"": 5}, {""field"": ""colour_group_name"", ""item_value"": ""Black"", ""matched_user_history_count"": 13}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Solid"", ""matched_user_history_count"": 17}, {""field"": ""garment_group_name"", ""item_value"": ""Jersey Fancy"", ""matched_user_history_count"": 2}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Swimwear' and colour 'Black'. The item product_group_name value 'Swimwear' appears 5 times in the user's training history. The item colour_group_name value 'Black' appears 13 times in the user's training history. The item graphical_appearance_name value 'Solid' appears 17 times in the user's training history. The item garment_group_name value 'Jersey Fancy' appears 2 times in the user's training history. Saved Hybrid score components are available with SVD score 0.424, agentic score 0.740, diversity bonus 0.000, and hybrid score 0.482. The Hybrid rank is 5, compared with SVD rank 4, so the reranking layer demoted this item by 1 positions.",8,0
00ae1f6597d6ccd8be53792737157a91d89dd40fcee2199cc04a696003fb2727,0642223001,6,,,False,0.130223,1.0,0.666667,0.374489,Bra,Underwear,Solid,Dark Red,"Under-, Nightwear",Expressive Lingerie,Womens Lingerie,Lingeries/Tights,,"Lace balconette bra with underwired, moulded, lightly padded cups that lift and shape. Detachable, adjustable shoulder straps and a fastening with three pairs of hooks and eyes.","[{""field"": ""product_group_name"", ""item_value"": ""Underwear"", ""matched_user_history_count"": 6}, {""field"": ""product_type_name"", ""item_value"": ""Bra"", ""matched_user_history_count"": 3}, {""field"": ""colour_group_name"", ""item_value"": ""Dark Red"", ""matched_user_history_count"": 1}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Solid"", ""matched_user_history_count"": 17}, {""field"": ""garment_group_name"", ""item_value"": ""Under-, Nightwear"", ""matched_user_history_count"": 6}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Underwear' and colour 'Dark Red'. The item product_group_name value 'Underwear' appears 6 times in the user's training history. The item product_type_name value 'Bra' appears 3 times in the user's training history. The item colour_group_name value 'Dark Red' appears 1 times in the user's training history. The item graphical_appearance_name value 'Solid' appears 17 times in the user's training history. The item garment_group_name value 'Under-, Nightwear' appears 6 times in the user's training history. Saved Hybrid score components are available with SVD score 0.130, agentic score 1.000, diversity bonus 0.667, and hybrid score 0.374.",8,0
00ae1f6597d6ccd8be53792737157a91d89dd40fcee2199cc04a696003fb2727,0872013001,7,,,False,0.222754,0.76201,0.333333,0.363097,Blouse,Garment Upper body,All over pattern,Black,Blouses,Tops Woven,Divided Collection,Divided,,"Boxy-style shirt in a printed viscose weave with a resort collar, buttons down the front and short sleeves.","[{""field"": ""product_group_name"", ""item_value"": ""Garment Upper body"", ""matched_user_history_count"": 3}, {""field"": ""colour_group_name"", ""item_value"": ""Black"", ""matched_user_history_count"": 13}, {""field"": ""graphical_appearance_name"", ""item_value"": ""All over pattern"", ""matched_user_history_count"": 1}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Upper body' and colour 'Black'. The item product_group_name value 'Garment Upper body' appears 3 times in the user's training history. The item colour_group_name value 'Black' appears 13 times in the user's training history. The item graphical_appearance_name value 'All over pattern' appears 1 times in the user's training history. Saved Hybrid score components are available with SVD score 0.223, agentic score 0.762, diversity bonus 0.333, and hybrid score 0.363.",6,0
00ae1f6597d6ccd8be53792737157a91d89dd40fcee2199cc04a696003fb2727,0592835003,8,,,False,0.197388,0.830403,0.0,0.345772,Top,Garment Upper body,All over pattern,Black,Jersey Fancy,Tops Fancy Jersey,Divided Collection,Divided,,,"[{""field"": ""product_group_name"", ""item_value"": ""Garment Upper body"", ""matched_user_history_count"": 3}, {""field"": ""product_type_name"", ""item_value"": ""Top"", ""matched_user_history_count"": 2}, {""field"": ""colour_group_name"", ""item_value"": ""Black"", ""matched_user_history_count"": 13}, {""field"": ""graphical_appearance_name"", ""item_value"": ""All over pattern"", ""matched_user_history_count"": 1}, {""field"": ""garment_group_name"", ""item_value"": ""Jersey Fancy"", ""matched_user_history_count"": 2}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Upper body' and colour 'Black'. The item product_group_name value 'Garment Upper body' appears 3 times in the user's training history. The item product_type_name value 'Top' appears 2 times in the user's training history. The item colour_group_name value 'Black' appears 13 times in the user's training history. The item graphical_appearance_name value 'All over pattern' appears 1 times in the user's training history. The item garment_group_name value 'Jersey Fancy' appears 2 times in the user's training history. Saved Hybrid score components are available with SVD score 0.197, agentic score 0.830, diversity bonus 0.000, and hybrid score 0.346.",8,0
00ae1f6597d6ccd8be53792737157a91d89dd40fcee2199cc04a696003fb2727,0790663002,9,7.0,-2.0,False,0.31991,0.470719,0.0,0.341617,Skirt,Garment Lower body,Solid,Black,Jersey Fancy,Jersey,Womens Trend,Ladieswear,,"Knee-length skirt in jersey crêpe with a high waist with concealed elastication, a wrapover front with a draped knot detail at one side and an asymmetric hem.","[{""field"": ""product_group_name"", ""item_value"": ""Garment Lower body"", ""matched_user_history_count"": 3}, {""field"": ""colour_group_name"", ""item_value"": ""Black"", ""matched_user_history_count"": 13}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Solid"", ""matched_user_history_count"": 17}, {""field"": ""garment_group_name"", ""item_value"": ""Jersey Fancy"", ""matched_user_history_count"": 2}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Lower body' and colour 'Black'. The item product_group_name value 'Garment Lower body' appears 3 times in the user's training history. The item colour_group_name value 'Black' appears 13 times in the user's training history. The item graphical_appearance_name value 'Solid' appears 17 times in the user's training history. The item garment_group_name value 'Jersey Fancy' appears 2 times in the user's training history. Saved Hybrid score components are available with SVD score 0.320, agentic score 0.471, diversity bonus 0.000, and hybrid score 0.342. The Hybrid rank is 9, compared with SVD rank 7, so the reranking layer demoted this item by 2 positions.",8,0
00ae1f6597d6ccd8be53792737157a91d89dd40fcee2199cc04a696003fb2727,0865799002,10,8.0,-2.0,False,0.286615,0.536758,0.0,0.33482,Trousers,Garment Lower body,Solid,White,Trousers,Trouser,Womens Everyday Collection,Ladieswear,,"5-pocket, ankle-length trousers in washed cotton twill with a high waist and wide, tapered legs with decorative seams at the hems.","[{""field"": ""product_group_name"", ""item_value"": ""Garment Lower body"", ""matched_user_history_count"": 3}, {""field"": ""colour_group_name"", ""item_value"": ""White"", ""matched_user_history_count"": 2}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Solid"", ""matched_user_history_count"": 17}, {""field"": ""garment_group_name"", ""item_value"": ""Trousers"", ""matched_user_history_count"": 1}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Garment Lower body' and colour 'White'. The item product_group_name value 'Garment Lower body' appears 3 times in the user's training history. The item colour_group_name value 'White' appears 2 times in the user's training history. The item graphical_appearance_name value 'Solid' appears 17 times in the user's training history. The item garment_group_name value 'Trousers' appears 1 times in the user's training history. Saved Hybrid score components are available with SVD score 0.287, agentic score 0.537, diversity bonus 0.000, and hybrid score 0.335. The Hybrid rank is 10, compared with SVD rank 8, so the reranking layer demoted this item by 2 positions.",8,0
00ae8e98c18bff1cf64d1b9f9e62040f191901cea8858c5c65a9fb5bf16300b2,0707269003,1,1.0,0.0,True,1.0,0.437374,0.0,0.809344,Unknown,Unknown,Solid,Black,"Under-, Nightwear",Clean Lingerie,Womens Lingerie,Lingeries/Tights,,"Super push-up bra in microfibre with underwired, thickly padded cups to maximise the bust and create a fuller cleavage, Adjustable shoulder straps, a wide hook-and-eye fastening at the back and elasticated ribbing at the hem. Designed with the minimum number of seams for a seamless, comfortable feel against the skin.","[{""field"": ""colour_group_name"", ""item_value"": ""Black"", ""matched_user_history_count"": 12}, {""field"": ""graphical_appearance_name"", ""item_value"": ""Solid"", ""matched_user_history_count"": 20}, {""field"": ""garment_group_name"", ""item_value"": ""Under-, Nightwear"", ""matched_user_history_count"": 4}]","This item was recommended by the Hybrid reranker. The item metadata shows product group 'Unknown' and colour 'Black'. The item colour_group_name value 'Black' appears 12 times in the user's training history. The item graphical_appearance_name value 'Solid' appears 20 times in the user's training history. The item garment_group_name value 'Under-, Nightwear' appears 4 times in the user's training history. Saved Hybrid score components are available with SVD score 1.000, agentic score 0.437, diversity bonus 0.000, and hybrid score 0.809. The item stayed at the same position in saved SVD and Hybrid Top-10 outputs at rank 1.",7,0
